+----------------+----------------------+---------------------+-------+----------------+------------+-----------+-----------+-------+------+--------+-----------------+-------------+---------+---------------+----------------+--------------+------+------------+-------+-----+----------------+--------------+-----+------+--------------+-----+-----+-----+--------------+
|      Mfg       |         Ball         |     PracticeDtTm    | Carry | Total_Distance | Ball_Speed | Back_Spin | Side_Spin |  HLA  | VLA  | Decent | Distance_To_Pin | Peak_Height | Offline | raw_Spin_Axis | raw_Carry_Game | raw_Carry_LM | Club | Club_Speed |  Path | AoA | Face_To_Target | Face_To_Path | Lie | Loft | Dynamic_Loft |  CR |  HI |  VI | Smash_Factor |
| PGX One Length | Titlelist ProV1x RCT | 2023-01-28 16:29:35 | 109.0 |     117.0      |    86.0    |   7263.9  |   -133.1  |  -7.9 | 26.0 |  46.8  |    25.73 yds    |     23.2    |  -15.7  |      -1.1     |     109.1      |     0.0      |  I7  |    78.7    |  -6.6 | 0.0 |      -8.6      |     1.9      | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length | Titlelist ProV1x RCT | 2023-01-28 16:29:35 | 107.7 |     115.6      |    85.2    |   7328.7  |   327.9   |  -4.4 | 25.8 |  46.0  |    20.94 yds    |     22.6    |   -6.4  |      2.6      |     107.6      |     0.0      |  I7  |    76.0    |  -7.6 | 0.0 |      -4.2      |     -3.3     | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length | Titlelist ProV1x RCT | 2023-01-28 16:29:35 | 109.4 |     122.7      |    85.5    |   5030.7  |   -735.6  | -10.7 | 21.1 |  38.2  |    33.15 yds    |     17.0    |  -25.4  |      -8.4     |     109.2      |     0.0      |  I7  |    77.7    |  -3.7 | 0.0 |     -12.4      |     8.7      | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length | Titlelist ProV1x RCT | 2023-01-28 16:29:35 | 117.4 |     127.8      |    90.4    |   6349.1  |   992.1   |  -0.9 | 26.5 |  47.4  |     29.71 ft    |     26.0    |   5.5   |      9.0      |     117.4      |     0.0      |  I7  |    75.6    | -10.5 | 0.0 |      0.5       |    -11.0     | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length | Titlelist ProV1x RCT | 2023-01-28 16:29:35 | 117.3 |     125.8      |    91.1    |   6876.1  |   383.1   |  -2.1 | 27.9 |  49.7  |     28.56 ft    |     28.5    |   -1.7  |      3.2      |     117.1      |     0.0      |  I7  |    77.8    |  -5.7 | 0.0 |      -1.7      |     -4.0     | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length | Titlelist ProV1x RCT | 2023-01-28 16:29:35 | 112.3 |     119.6      |    88.3    |   7862.0  |   -499.2  |  -8.5 | 25.1 |  46.1  |    27.24 yds    |     23.8    |  -19.5  |      -3.6     |     112.1      |     0.0      |  I7  |    78.0    |  -3.9 | 0.0 |      -9.8      |     6.0      | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length | Titlelist ProV1x RCT | 2023-01-28 16:29:35 | 102.1 |     111.5      |    82.2    |   7142.9  |   -708.3  |  -3.0 | 22.7 |  40.6  |    26.13 yds    |     17.6    |   -8.9  |      -5.7     |     101.9      |     0.0      |  I7  |    71.9    |  0.0  | 0.0 |      0.0       |     0.0      | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length | Titlelist ProV1x RCT | 2023-01-28 16:29:35 |  89.3 |      96.7      |    77.8    |   8622.0  |   2183.9  |  11.1 | 18.3 |  33.1  |    49.96 yds    |     11.7    |   24.2  |      14.7     |      89.2      |     0.0      |  I7  |    86.8    |  0.0  | 0.0 |      0.0       |     0.0      | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length | Titlelist ProV1x RCT | 2023-01-28 16:29:35 |  99.4 |     105.7      |    81.1    |   7762.1  |  -1448.7  |  -4.3 | 22.2 |  40.0  |    34.11 yds    |     16.7    |  -14.0  |     -10.8     |      99.3      |     0.0      |  I7  |    78.0    |  0.0  | 0.0 |      0.0       |     0.0      | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length | Titlelist ProV1x RCT | 2023-01-28 16:29:35 | 104.5 |     117.4      |    82.6    |   4689.1  |  -1164.0  |  -8.2 | 22.7 |  38.6  |    33.82 yds    |     16.9    |  -22.9  |     -14.4     |     104.3      |     0.0      |  I7  |    72.5    |  0.0  | 0.0 |      0.0       |     0.0      | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
